epoch,train_loss,val_loss,val_dice,dice_class_1,dice_class_2,dice_class_3,learning_rate
1,1.497948899050759,1.2114727472091888,0.7494181593259176,0.7222707867622375,0.645681619644165,0.8803020715713501,0.0001
2,1.0380198230067244,0.9175392447651683,0.8087864716847738,0.808171808719635,0.7290831804275513,0.889104425907135,0.0001
3,0.7697925758678769,0.699037921178591,0.820484439531962,0.7643314003944397,0.7795208096504211,0.9176011085510254,0.0001
4,0.543046447868009,0.5185688446451734,0.8394750157992045,0.7916931509971619,0.8021392226219177,0.9245926737785339,0.0001
5,0.3701799363778296,0.38320632310180397,0.8615909814834595,0.8416351079940796,0.816049337387085,0.9270884990692139,0.0001
6,0.2740691904655411,0.27543638990475583,0.8902198672294617,0.8978341817855835,0.8334313631057739,0.9393940567970276,0.0001
7,0.21655840555445308,0.26277395436813783,0.8669591148694357,0.8806450963020325,0.8000798225402832,0.9201524257659912,0.0001
8,0.1855733457793161,0.22472169224198882,0.8752634127934774,0.8748161196708679,0.8346388936042786,0.9163352251052856,0.0001
9,0.16736532727935993,0.2605866701244474,0.8468828996022543,0.8625882267951965,0.7831234931945801,0.8949369788169861,0.0001
10,0.14407263579537632,0.16515279128834917,0.9051136374473572,0.904639720916748,0.8636271357536316,0.9470740556716919,0.0001
11,0.13021565443303773,0.16660490496592087,0.8984034856160482,0.8996376991271973,0.856813907623291,0.9387588500976562,0.0001
12,0.12592312356834046,0.1779856381716428,0.8880604902903239,0.8894981145858765,0.8435876965522766,0.9310956597328186,0.0001
13,0.12282526389622794,0.17173899553872488,0.8909263809521993,0.880267858505249,0.851460874080658,0.9410504102706909,0.0001
14,0.11749007866512902,0.15618553903553037,0.89883420864741,0.8870046734809875,0.8595522046089172,0.9499457478523254,0.0001
15,0.10965942654158904,0.14966212619434704,0.9009241660435995,0.8995577096939087,0.8645424842834473,0.9386723041534424,0.0001
16,0.10124210815221908,0.15273615196868257,0.8991252382596334,0.8947950005531311,0.8563526272773743,0.9462280869483948,0.0001
17,0.10591473905823608,0.17504439320597615,0.8829616904258728,0.8868660926818848,0.8417174816131592,0.9203014969825745,0.0001
18,0.10187338175942662,0.1580288871810153,0.8948926130930582,0.876357913017273,0.8624737858772278,0.9458461403846741,0.0001
19,0.11247551238695311,0.16677541811983068,0.8877086440722147,0.8776397705078125,0.8473140001296997,0.9381721615791321,0.0001
20,0.10462388515120243,0.140289906490516,0.9047130346298218,0.9054111838340759,0.8622915744781494,0.94643634557724,0.0001
21,0.09975982910817272,0.16953576517688645,0.8818152745564779,0.8492173552513123,0.8505759239196777,0.9456525444984436,0.0001
22,0.0997505696762788,0.13313340927129025,0.9077824552853903,0.9087069630622864,0.8699034452438354,0.9447369575500488,0.0001
23,0.09182515800923681,0.13879409640819043,0.9046040773391724,0.9087142944335938,0.8646252155303955,0.9404727220535278,0.0001
24,0.09082052383456307,0.12589353604333384,0.9125156005223592,0.9135941863059998,0.8740004897117615,0.9499521255493164,0.0001
25,0.08503590768514038,0.12545634014206333,0.912226398785909,0.9165554642677307,0.8736925721168518,0.9464311599731445,0.0001
