epoch,train_loss,val_loss,val_dice,dice_class_1,dice_class_2,dice_class_3
1,1.494956364307657,1.2071436902026196,0.7399088740348816,0.7031778693199158,0.6381973028182983,0.8783514499664307
2,1.0193005953440815,0.9277239337667719,0.7889867822329203,0.7528342604637146,0.760406494140625,0.8537195920944214
3,0.752635105497904,0.7267394107538503,0.7920909325281779,0.8261832594871521,0.7474552989006042,0.8026342391967773
4,0.5220486012836326,0.5324288877573881,0.8172825574874878,0.8204524517059326,0.7648096680641174,0.8665855526924133
5,0.3566576964393852,0.5895026976411993,0.6601136525472006,0.6659826636314392,0.6363357901573181,0.6780225038528442
6,0.259517200148088,0.32224534629108187,0.8485365311304728,0.8433330059051514,0.7918562889099121,0.910420298576355
7,0.20324495302697582,0.25867143731850845,0.8732995589574178,0.8694132566452026,0.8327848315238953,0.9177005887031555
8,0.1698047763487789,0.2188129433385142,0.882175624370575,0.8861997127532959,0.838143527507782,0.922183632850647
9,0.14279860520028292,0.19677559103999104,0.888564387957255,0.8753598928451538,0.8480163812637329,0.9423168897628784
10,0.13954586070168493,0.18334936407896188,0.8912765979766846,0.8823270201683044,0.8519441485404968,0.9395586252212524
