epoch,train_loss,val_loss,val_dice,dice_class_1,dice_class_2,dice_class_3
1,1.494956364307657,1.2071436902026196,0.7399088740348816,0.7031778693199158,0.6381973028182983,0.8783514499664307
2,1.0193005953440815,0.9277239337667719,0.7889867822329203,0.7528342604637146,0.760406494140625,0.8537195920944214
3,0.752635105497904,0.7267394107538503,0.7920909325281779,0.8261832594871521,0.7474552989006042,0.8026342391967773
4,0.5220486012836326,0.5324288877573881,0.8172825574874878,0.8204524517059326,0.7648096680641174,0.8665855526924133
5,0.3566576964393852,0.5895026976411993,0.6601136525472006,0.6659826636314392,0.6363357901573181,0.6780225038528442
6,0.259517200148088,0.32224534629108187,0.8485365311304728,0.8433330059051514,0.7918562889099121,0.910420298576355
7,0.20324495302697582,0.25867143731850845,0.8732995589574178,0.8694132566452026,0.8327848315238953,0.9177005887031555
8,0.1698047763487789,0.2188129433385142,0.882175624370575,0.8861997127532959,0.838143527507782,0.922183632850647
9,0.14279860520028292,0.19677559103999104,0.888564387957255,0.8753598928451538,0.8480163812637329,0.9423168897628784
10,0.13954586070168493,0.18334936407896188,0.8912765979766846,0.8823270201683044,0.8519441485404968,0.9395586252212524
11,0.12304435689084815,0.16011932460994988,0.9033295313517252,0.9064554572105408,0.8588434457778931,0.9446896910667419
12,0.10763254471156235,0.2612151937051253,0.8334512511889139,0.8492128849029541,0.7712282538414001,0.8799126148223877
13,0.13077108016130315,0.19742508378479032,0.8761689066886902,0.8801589608192444,0.8343576192855835,0.9139901399612427
14,0.10350866687306626,0.15236561761035786,0.9054020643234253,0.8922688364982605,0.8707523941993713,0.953184962272644
15,0.09223752749459253,0.13969695380517652,0.9097625811894735,0.9107618927955627,0.8687288761138916,0.9497969746589661
16,0.08918309432937264,0.17997568335149672,0.8758832613627116,0.8577925562858582,0.8447149395942688,0.9251422882080078
17,0.09041440806061338,0.1406205503882228,0.9064245223999023,0.9017801880836487,0.8687139749526978,0.9487794041633606
18,0.09287999889523099,0.15020034821717054,0.8975772261619568,0.8994775414466858,0.8495479822158813,0.9437061548233032
19,0.08315028024609016,0.14411334130730663,0.9022877216339111,0.9080806374549866,0.8617369532585144,0.9370455741882324
20,0.08071726190814944,0.13388228041308742,0.9103145003318787,0.9146578311920166,0.8692970275878906,0.9469886422157288
21,0.07525088078998568,0.12380086672264379,0.9157278537750244,0.9161190986633301,0.8767649531364441,0.9542995095252991
22,0.07665685790988508,0.13821637828450103,0.905793567498525,0.9045633673667908,0.8644396662712097,0.9483776688575745
23,0.07432800488466702,0.1320774875112347,0.9102838834126791,0.9104207754135132,0.8739259243011475,0.9465049505233765
24,0.07197406472008197,0.13640567045528573,0.908113439877828,0.9102670550346375,0.8687142133712769,0.9453590512275696
25,0.07275798219081395,0.13224837480933516,0.9101117650667826,0.9190457463264465,0.8609923720359802,0.9502971768379211
