epoch,train_loss,val_loss,val_dice,dice_class_1,dice_class_2,dice_class_3,learning_rate
1,1.6521555636094627,1.4211032140505064,0.6607810060183207,0.6727743744850159,0.5722084045410156,0.7373602390289307,0.0001
2,1.2655529419463705,1.2349987096719808,0.6863609949747721,0.5609408020973206,0.6214079260826111,0.8767342567443848,0.0001
3,1.0753990503322426,1.025749337423098,0.8331873615582784,0.843931257724762,0.7578169703483582,0.8978138566017151,0.0001
4,0.9297862295033836,0.9098542611915749,0.8194599747657776,0.83899986743927,0.7278189659118652,0.8915610909461975,0.0001
5,0.8002858790548373,0.805762919512662,0.8415787816047668,0.8282535076141357,0.787528932094574,0.9089539051055908,0.0001
6,0.6722398800899219,0.6791433992085757,0.8501076896985372,0.8371857404708862,0.7956649661064148,0.9174723625183105,0.0001
7,0.5539903301784171,0.5337972245016298,0.8793637355168661,0.880008339881897,0.8340821862220764,0.9240006804466248,0.0001
8,0.4413162905673333,0.4841023129183096,0.8477737108866373,0.8911628127098083,0.7755425572395325,0.8766157627105713,0.0001
9,0.3685995744461499,0.3824205242253684,0.8803092837333679,0.8716862201690674,0.8400118947029114,0.929229736328125,0.0001
10,0.3015033052890304,0.39179879468637746,0.8311000466346741,0.7132883071899414,0.8421651721000671,0.9378466606140137,0.0001
11,0.2642809292150213,0.2911663580607701,0.8815576235453287,0.8751815557479858,0.8349793553352356,0.9345119595527649,0.0001
12,0.2224476085411745,0.2486019823309425,0.8958439032236735,0.8913958072662354,0.8552978038787842,0.940838098526001,0.0001
13,0.19750672378515388,0.23475107998697908,0.8915351231892904,0.8994254469871521,0.843948245048523,0.931231677532196,0.0001
14,0.17801450980907002,0.21193760112449006,0.896467904249827,0.9002636671066284,0.8493386507034302,0.9398013949394226,0.0001
15,0.160373555086388,0.20487235236417997,0.8918098012606303,0.8838859796524048,0.859144389629364,0.9323990345001221,0.0001
16,0.14143253633947808,0.179845423027352,0.9048084417978922,0.9001160860061646,0.8663803935050964,0.9479288458824158,0.0001
17,0.13706575324167353,0.17470129678299376,0.9030153950055441,0.9050371050834656,0.8600277304649353,0.9439813494682312,0.0001
18,0.1347692383555049,0.17543010434487483,0.8963579734166464,0.8832386136054993,0.8611473441123962,0.9446879625320435,0.0001
19,0.12865476177089147,0.1615099523450945,0.9022329648335775,0.8967548608779907,0.8719704747200012,0.9379735589027405,0.0001
20,0.12093277224937958,0.16060888569254975,0.9010726610819498,0.900822639465332,0.864963710308075,0.9374316334724426,0.0001
21,0.11341407449373994,0.14691421316637027,0.9104335904121399,0.9102047085762024,0.8719334006309509,0.9491626620292664,5e-05
22,0.10718103151553843,0.14934778890826486,0.907791276772817,0.9022983908653259,0.8743802309036255,0.9466952085494995,5e-05
23,0.10157073751378094,0.14857504845082342,0.907108207543691,0.912114143371582,0.8670063614845276,0.9422041177749634,5e-05
24,0.10023250319668954,0.14331308215648145,0.909290631612142,0.909126877784729,0.8718557953834534,0.9468892216682434,5e-05
25,0.0972730802534426,0.14142477554041188,0.909518281618754,0.9073382616043091,0.8741739988327026,0.9470425844192505,5e-05
26,0.093072205528815,0.13691448998617958,0.9121052026748657,0.9148468375205994,0.8732002377510071,0.9482685327529907,2.5e-05
27,0.09108623789631634,0.1360850311242617,0.9125396807988485,0.9100942015647888,0.8773916959762573,0.9501331448554993,2.5e-05
28,0.09036563396277773,0.13823668637892583,0.9102024435997009,0.9086067080497742,0.8738914728164673,0.9481091499328613,2.5e-05
29,0.08949941613517448,0.13829683392614753,0.9102013309796652,0.9077392816543579,0.8741192817687988,0.9487454295158386,2.5e-05
30,0.08798143136668593,0.13547546630139118,0.911803682645162,0.9093338847160339,0.8770142793655396,0.9490628838539124,2.5e-05
