epoch,train_loss,val_loss,val_dice,dice_class_1,dice_class_2,dice_class_3,learning_rate
1,1.6534547101447643,1.4029649571105316,0.6758255362510681,0.7132856845855713,0.4950922727584839,0.8190986514091492,0.0001
2,1.259848414707043,1.1689489346284132,0.8204078872998556,0.847030758857727,0.7237018942832947,0.8904910087585449,0.0001
3,1.0653445079724582,1.0426637909629128,0.754168430964152,0.8003203272819519,0.6294943690299988,0.8326905965805054,0.0001
4,0.9190894279029204,0.9023485129529779,0.8372542858123779,0.8665856719017029,0.7726956009864807,0.8724815845489502,0.0001
5,0.7775784772291141,0.771708218784599,0.8630280494689941,0.8325114846229553,0.8239502310752869,0.9326224327087402,0.0001
6,0.6506540446901251,0.6440275524046037,0.8675926923751831,0.862171471118927,0.8123046159744263,0.928301990032196,0.0001
7,0.5350383735389794,0.5722234620080962,0.8219569325447083,0.8760446310043335,0.7088410258293152,0.8809851408004761,0.0001
8,0.42899698111472134,0.4600955370839659,0.8640933632850647,0.8778091669082642,0.792383074760437,0.9220878481864929,0.0001
9,0.3444563289072524,0.36185542707676654,0.8879003326098124,0.8891564607620239,0.8416183590888977,0.9329261779785156,0.0001
10,0.28832164745739325,0.38944049648471646,0.8280715147654215,0.8097547888755798,0.7776152491569519,0.8968445062637329,0.0001
11,0.24921167554936346,0.2933429158650912,0.8782461086908976,0.8542695641517639,0.844294548034668,0.936174213886261,0.0001
12,0.20244714822427562,0.24209312521494353,0.8969879746437073,0.9030076861381531,0.8513388633728027,0.936617374420166,0.0001
13,0.17708966534370157,0.20954281018747317,0.9060166080792745,0.9079477190971375,0.8627011179924011,0.9474009871482849,0.0001
14,0.16017180214604387,0.20110477006935573,0.9035488168398539,0.9055430889129639,0.8603203296661377,0.9447830319404602,0.0001
15,0.1431365324352129,0.18522490060829616,0.9037542541821798,0.9108182787895203,0.8547734618186951,0.945671021938324,0.0001
16,0.12721043033869264,0.17718406157060104,0.9059429367383321,0.9071227312088013,0.8620391488075256,0.9486669301986694,0.0001
17,0.11504440733741975,0.1695522700364773,0.9050033092498779,0.9026113748550415,0.8646963834762573,0.947702169418335,0.0001
18,0.10752256140883247,0.15954129637538136,0.9103519121805826,0.9098646640777588,0.8726271986961365,0.9485638737678528,5e-05
19,0.10039686020931429,0.15667358478466115,0.9096677104632059,0.9149338603019714,0.8662171959877014,0.9478520750999451,5e-05
20,0.0966650838998079,0.1587817545954164,0.9062204758326212,0.9082087874412537,0.8621230125427246,0.9483296275138855,5e-05
21,0.09315402708958664,0.15149696806927662,0.9109659592310587,0.9108184576034546,0.8725980520248413,0.9494813680648804,5e-05
22,0.08863902822731165,0.1509245738282904,0.9094930291175842,0.9127852916717529,0.867159903049469,0.9485338926315308,5e-05
23,0.08441655691080291,0.14798492714241668,0.9106510082880656,0.9117723107337952,0.8730817437171936,0.947098970413208,5e-05
24,0.08165058701614157,0.15593380402851773,0.9032362500826517,0.8953609466552734,0.8689736127853394,0.9453741908073425,5e-05
25,0.08027315883728038,0.1502349685122083,0.906352718671163,0.9000190496444702,0.8716417551040649,0.9473973512649536,5e-05
26,0.07368820184839,0.14464982083210579,0.9097038706143697,0.9091499447822571,0.8711329102516174,0.9488287568092346,2.5e-05
27,0.07182392829057913,0.14475215023214166,0.9093396266301473,0.9120296835899353,0.8662245869636536,0.949764609336853,2.5e-05
28,0.07033873757724396,0.1436341370527561,0.9099165995915731,0.9120770692825317,0.8697348833084106,0.9479378461837769,2.5e-05
29,0.06788859794816027,0.14556571278538738,0.9078756173451742,0.907896101474762,0.8694851398468018,0.9462456107139587,2.5e-05
30,0.06621933372985665,0.14416827386492617,0.908412237962087,0.9066965579986572,0.8702060580253601,0.9483340978622437,1.25e-05
