epoch,train_loss,val_loss,val_dice,dice_class_1,dice_class_2,dice_class_3,learning_rate
1,1.4987408771472632,1.240569423128675,0.695232113202413,0.7280334234237671,0.5203055143356323,0.8373574018478394,0.0001
2,1.0364585773279256,0.9202337615139835,0.8225166996320089,0.8225023150444031,0.7463474273681641,0.8987003564834595,0.0001
3,0.7647729973849376,0.7173751255015394,0.8042258421579996,0.714695394039154,0.7836984395980835,0.9142836928367615,0.0001
4,0.53966705441651,0.5511661943022188,0.8140742977460226,0.7429311871528625,0.7827082872390747,0.9165834188461304,0.0001
5,0.37295601696348263,0.4084719086026812,0.8263522187868754,0.8642012476921082,0.7522362470626831,0.862619161605835,0.0001
6,0.278764985644835,0.2925154466729064,0.877426008383433,0.8870026469230652,0.8148702383041382,0.9304051399230957,0.0001
7,0.21129638746799007,0.2528804726117141,0.8686351378758749,0.8502269387245178,0.8275676369667053,0.9281108379364014,0.0001
8,0.18325644524622176,0.21165948199642287,0.8867465655008951,0.877824604511261,0.8520522713661194,0.9303628206253052,0.0001
9,0.1672767983801784,0.2019878079841187,0.8815985123316447,0.8870632648468018,0.8290062546730042,0.9287260174751282,0.0001
10,0.150344883277462,0.17873759046717957,0.8960286776224772,0.889102578163147,0.8528572916984558,0.9461261630058289,0.0001
11,0.13579342356900873,0.1705622169729713,0.8989528020222982,0.9029914140701294,0.8538869619369507,0.9399800300598145,0.0001
12,0.12958149138722497,0.20803594307882803,0.8664548595746359,0.8729791045188904,0.8061622977256775,0.9202231764793396,0.0001
13,0.12579103045308607,0.15587074976492596,0.8996518850326538,0.9083535075187683,0.8488427996635437,0.9417593479156494,0.0001
14,0.1251952920873901,0.1565697031629669,0.9011914134025574,0.8940216898918152,0.8634008765220642,0.9461516737937927,0.0001
15,0.11968789962801306,0.14736726025601368,0.902768611907959,0.9068731665611267,0.8615712523460388,0.9398614168167114,0.0001
16,0.110635245722365,0.15724132381952727,0.8949269851048788,0.8894872069358826,0.8505414128303528,0.9447523355484009,0.0001
17,0.10695982069613487,0.1604908790725928,0.8932937383651733,0.8870517611503601,0.8516690731048584,0.9411603808403015,0.0001
18,0.10087052167034219,0.13406349150659322,0.9095353285471598,0.9080297946929932,0.8703033924102783,0.950272798538208,0.0001
19,0.10177322905208018,0.1368744517122949,0.9073622425397238,0.9099876284599304,0.8679062724113464,0.9441928267478943,0.0001
20,0.10668155076628774,0.15569207676640756,0.8917686740557352,0.8943342566490173,0.8490214347839355,0.9319503307342529,0.0001
21,0.10078392841439128,0.16260576388844244,0.8901087045669556,0.8897984027862549,0.8516626358032227,0.9288650751113892,0.0001
22,0.0967603605928414,0.13249597375417924,0.9091763695081075,0.910081148147583,0.8694784045219421,0.9479695558547974,0.0001
23,0.0975789349509659,0.25034398424041854,0.8211455543835958,0.8959657549858093,0.7701342701911926,0.7973366379737854,0.0001
24,0.09100246289676191,0.13288367232242665,0.9090725183486938,0.9058172702789307,0.8732879161834717,0.9481123685836792,0.0001
25,0.08597219003532275,0.1280161676394356,0.911951998869578,0.9006797075271606,0.8798813223838806,0.9552949666976929,0.0001
26,0.08744444393248818,0.12299929611332766,0.9154636263847351,0.919257640838623,0.8737550973892212,0.9533781409263611,0.0001
27,0.08963617658245335,0.12774677736150636,0.910648246606191,0.9090677499771118,0.8697658181190491,0.9531111717224121,0.0001
28,0.08506645858728022,0.14220401415458092,0.9020506739616394,0.9106464385986328,0.8621829152107239,0.9333226680755615,0.0001
29,0.0907073849743367,0.1637962088509873,0.8875304261843363,0.8668597340583801,0.8605409264564514,0.9351906180381775,0.0001
30,0.08488263677326932,0.12471674236801121,0.9138014316558838,0.9129183888435364,0.8787329792976379,0.949752926826477,0.0001
